nomor_cabai,gambar,berat_cabai,kadar_air,label
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_8_0.png,1.86,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_8_1.png,1.86,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2a_8_2.png,1.86,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_6_0.png,2.05,9.27,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_6_1.png,2.05,9.27,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_6_2.png,2.05,9.27,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_7_0.png,1.92,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_7_1.png,1.92,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_7_2.png,1.92,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_8_0.png,1.86,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_8_1.png,1.86,3.12,kering
2,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 2b_8_2.png,1.86,3.12,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_6_0.png,2.28,9.65,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_6_1.png,2.28,9.65,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_6_2.png,2.28,9.65,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_7_0.png,2.13,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_7_1.png,2.13,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_7_2.png,2.13,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_8_0.png,2.06,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_8_1.png,2.06,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3a_8_2.png,2.06,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_6_0.png,2.28,9.65,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_6_1.png,2.28,9.65,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_6_2.png,2.28,9.65,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_7_0.png,2.13,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_7_1.png,2.13,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_7_2.png,2.13,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_8_0.png,2.06,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_8_1.png,2.06,3.29,kering
3,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 3b_8_2.png,2.06,3.29,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_6_0.png,2.67,8.99,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_6_1.png,2.67,8.99,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_6_2.png,2.67,8.99,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_7_0.png,2.36,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_7_1.png,2.36,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_7_2.png,2.36,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_8_0.png,2.43,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_8_1.png,2.43,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4a_8_2.png,2.43,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_6_0.png,2.67,8.99,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_6_1.png,2.67,8.99,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_6_2.png,2.67,8.99,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_7_0.png,2.36,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_7_1.png,2.36,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_7_2.png,2.36,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_8_0.png,2.43,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_8_1.png,2.43,-2.97,kering
4,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 4b_8_2.png,2.43,-2.97,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_6_0.png,4.22,6.87,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_6_1.png,4.22,6.87,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_6_2.png,4.22,6.87,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_7_0.png,4.02,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_7_1.png,4.02,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_7_2.png,4.02,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_8_0.png,3.93,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_8_1.png,3.93,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5a_8_2.png,3.93,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_6_0.png,4.22,6.87,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_6_1.png,4.22,6.87,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_6_2.png,4.22,6.87,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_7_0.png,4.02,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_7_1.png,4.02,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_7_2.png,4.02,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_8_0.png,3.93,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_8_1.png,3.93,2.24,kering
5,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 5b_8_2.png,3.93,2.24,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_6_0.png,2.67,8.99,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_6_1.png,2.67,8.99,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_6_2.png,2.67,8.99,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_7_0.png,2.49,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_7_1.png,2.49,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_7_2.png,2.49,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_8_0.png,2.43,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_8_1.png,2.43,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6a_8_2.png,2.43,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_6_0.png,2.67,8.99,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_6_1.png,2.67,8.99,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_6_2.png,2.67,8.99,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_7_0.png,2.49,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_7_1.png,2.49,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_7_2.png,2.49,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_8_0.png,2.43,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_8_1.png,2.43,2.41,kering
6,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 6b_8_2.png,2.43,2.41,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_6_0.png,2.12,3.77,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_6_1.png,2.12,3.77,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_6_2.png,2.12,3.77,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_7_0.png,2.17,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_7_1.png,2.17,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_7_2.png,2.17,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_8_0.png,2.04,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_8_1.png,2.04,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7a_8_2.png,2.04,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_6_0.png,2.12,3.77,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_6_1.png,2.12,3.77,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_6_2.png,2.12,3.77,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_7_0.png,2.17,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_7_1.png,2.17,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_7_2.png,2.17,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_8_0.png,2.04,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_8_1.png,2.04,5.99,kering
7,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 7b_8_2.png,2.04,5.99,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_6_0.png,4.33,3.7,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_6_1.png,4.33,3.7,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_6_2.png,4.33,3.7,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_7_0.png,4.14,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_7_1.png,4.14,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_7_2.png,4.14,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_8_0.png,4.17,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_8_1.png,4.17,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8a_8_2.png,4.17,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_6_0.png,4.33,3.7,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_6_1.png,4.33,3.7,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_6_2.png,4.33,3.7,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_7_0.png,4.14,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_7_1.png,4.14,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_7_2.png,4.14,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_8_0.png,4.17,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_8_1.png,4.17,-0.72,kering
8,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 8b_8_2.png,4.17,-0.72,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_6_0.png,2.82,10.64,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_6_1.png,2.82,10.64,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_6_2.png,2.82,10.64,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_7_0.png,2.68,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_7_1.png,2.68,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_7_2.png,2.68,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_8_0.png,2.52,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_8_1.png,2.52,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9a_8_2.png,2.52,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_6_0.png,2.82,10.64,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_6_1.png,2.82,10.64,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_6_2.png,2.82,10.64,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_7_0.png,2.68,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_7_1.png,2.68,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_7_2.png,2.68,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_8_0.png,2.52,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_8_1.png,2.52,5.97,kering
9,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 9b_8_2.png,2.52,5.97,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_6_0.png,3.46,8.67,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_6_1.png,3.46,8.67,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_6_2.png,3.46,8.67,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_7_0.png,3.32,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_7_1.png,3.32,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_7_2.png,3.32,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_8_0.png,3.16,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_8_1.png,3.16,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10a_8_2.png,3.16,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_6_0.png,3.46,8.67,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_6_1.png,3.46,8.67,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_6_2.png,3.46,8.67,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_7_0.png,3.32,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_7_1.png,3.32,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_7_2.png,3.32,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_8_0.png,3.16,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_8_1.png,3.16,4.82,kering
10,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 10b_8_2.png,3.16,4.82,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_6_0.png,1.14,14.91,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_6_1.png,1.14,14.91,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_6_2.png,1.14,14.91,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_7_0.png,1.06,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_7_1.png,1.06,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_7_2.png,1.06,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_8_0.png,0.97,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_8_1.png,0.97,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11a_8_2.png,0.97,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_6_0.png,1.14,14.91,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_6_1.png,1.14,14.91,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_6_2.png,1.14,14.91,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_7_0.png,1.06,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_7_1.png,1.06,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_7_2.png,1.06,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_8_0.png,0.97,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_8_1.png,0.97,8.49,kering
11,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 11b_8_2.png,0.97,8.49,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_6_0.png,0.97,17.53,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_6_1.png,0.97,17.53,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_6_2.png,0.97,17.53,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_7_0.png,0.88,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_7_1.png,0.88,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_7_2.png,0.88,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_8_0.png,0.8,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_8_1.png,0.8,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12a_8_2.png,0.8,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_6_0.png,0.97,17.53,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_6_1.png,0.97,17.53,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_6_2.png,0.97,17.53,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_7_0.png,0.88,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_7_1.png,0.88,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_7_2.png,0.88,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_8_0.png,0.8,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_8_1.png,0.8,9.09,kering
12,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 12b_8_2.png,0.8,9.09,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_6_0.png,2.42,11.16,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_6_1.png,2.42,11.16,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_6_2.png,2.42,11.16,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_7_0.png,2.26,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_7_1.png,2.26,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_7_2.png,2.26,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_8_0.png,2.15,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_8_1.png,2.15,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13a_8_2.png,2.15,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_6_0.png,2.42,11.16,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_6_1.png,2.42,11.16,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_6_2.png,2.42,11.16,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_7_0.png,2.26,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_7_1.png,2.26,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_7_2.png,2.26,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_8_0.png,2.15,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_8_1.png,2.15,4.87,kering
13,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 13b_8_2.png,2.15,4.87,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_6_0.png,4.81,9.15,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_6_1.png,4.81,9.15,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_6_2.png,4.81,9.15,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_7_0.png,4.57,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_7_1.png,4.57,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_7_2.png,4.57,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_8_0.png,4.37,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_8_1.png,4.37,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14a_8_2.png,4.37,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_6_0.png,4.81,9.15,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_6_1.png,4.81,9.15,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_6_2.png,4.81,9.15,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_7_0.png,4.57,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_7_1.png,4.57,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_7_2.png,4.57,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_8_0.png,4.37,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_8_1.png,4.37,4.38,kering
14,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 14b_8_2.png,4.37,4.38,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_6_0.png,2.7,8.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_6_1.png,2.7,8.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_6_2.png,2.7,8.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_7_0.png,2.56,3.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_7_1.png,2.56,3.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_7_2.png,2.56,3.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_8_0.png,2.47,3.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_8_1.png,2.47,3.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15a_8_2.png,2.47,3.52,kering
15,/content/dataset/cabai_merah_keriting_augmented2/kering/Cabai 15b_6_0.png,2.7,8.52,kering
